(203, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, '0', None, None, None, None, None, None, '0', None, None, None, None, None, '0', '0', None, '0', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, '0', '0', None, None, '0', None, '1', None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', '0', None, None, None, None, '1', None, None, '0', None, None)
(215, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, '1', None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, '1', None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, '1', None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None)
(223, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', '1', None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', '1', None, None, None, '1', None, None, None, None, None, None, None, None, '1', '1', None)
(225, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, '0', None, '1', None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '0', None, '1', None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, '0', '1', None, None, None)
(226, None, None, None, '1', None, None, None, None, None, '1', '1', None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, '1', '1', None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, '1', None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
(230, None, None, None, None, '1', None, None, None, None, None, '1', None, '1', None, '1', '1', '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, '1', None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None)
(231, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, '0', '1', None, None, None, None, '1', None, None, '1', None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None)
(232, None, None, None, None, None, '1', '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, '1', None, '0', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, '1', '0', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, '1', None, None)
(234, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, '1', '1', '1', None, None, None, None, '0', None, None, None, None, None, '1', None)
(235, None, '1', None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, '1', None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, '1', '0', None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, '0', None, None, None, None, None, None, None, None, None, None)
(236, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, '1', '1', '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None)
(237, None, None, '1', '1', '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, '1', None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None)
